file,algorithm,HOs,RLFs,PingPongs
s10_pB_seed11_tick.csv,Baseline,68,3736,0
s10_pB_seed11_tick.csv,PPO_Agent,19407,6157,98
s10_pB_seed12_tick.csv,Baseline,68,3736,0
s10_pB_seed12_tick.csv,PPO_Agent,19407,6157,98
s10_pC_seed11_tick.csv,Baseline,52,4475,0
s10_pC_seed11_tick.csv,PPO_Agent,15150,5658,164
s10_pC_seed12_tick.csv,Baseline,52,4475,0
s10_pC_seed12_tick.csv,PPO_Agent,15150,5658,164
s8_pB_seed11_tick.csv,Baseline,654,1037,20
s8_pB_seed11_tick.csv,PPO_Agent,4830,1051,339
s8_pB_seed12_tick.csv,Baseline,654,1037,20
s8_pB_seed12_tick.csv,PPO_Agent,4830,1051,339
s8_pC_seed11_tick.csv,Baseline,347,481,13
s8_pC_seed11_tick.csv,PPO_Agent,4385,558,362
s8_pC_seed12_tick.csv,Baseline,347,481,13
s8_pC_seed12_tick.csv,PPO_Agent,4385,558,362
s9_pB_seed11_tick.csv,Baseline,2283,2390,92
s9_pB_seed11_tick.csv,PPO_Agent,16658,2987,1436
s9_pB_seed12_tick.csv,Baseline,2283,2390,92
s9_pB_seed12_tick.csv,PPO_Agent,16658,2987,1436
s9_pC_seed11_tick.csv,Baseline,2360,2914,91
s9_pC_seed11_tick.csv,PPO_Agent,14073,2768,1256
s9_pC_seed12_tick.csv,Baseline,2360,2914,91
s9_pC_seed12_tick.csv,PPO_Agent,14073,2768,1256
